COUNTRY/LOCATION,PEOPLE,POUNDS ,KILOGRAMS ,MILES,KILOMETERS,TOTAL  ITEMS COLLECTED,"1
CIGARETTE
BUTTS","2
FOOD WRAPPERS","3
PLASTIC BEVERAGE BOTTLES","4
PLASTIC BOTTLE CAPS","5
PLASTIC GROCERY
BAGS","6
OTHER PLASTIC BAGS","7
STRAWS, STIRRERS ","8
PLASTIC TAKE
OUT/AWAY CONTAINERS","9
PLASTIC
LIDS","10
FOAM TAKE OUT/AWAY
CONTAINERS"
ARGENTINA,209,1660,753,0.4,0.7,4648,248,84,606,695,625,117,98,85,211,142
ARUBA,4,7,3,2,3,16,,,2,,,,,,,
AUSTRALIA,1245,6862,3113,165,265,68153,8632,5580,453,624,1197,31,3641,76,3456,24
AUSTRIA,3,1,0.4,0.2,0.3,13,,1,2,1,1,,2,2,,1
BANGLADESH,470,1764,800,2,3,17924,6321,3852,328,362,241,289,351,820,512,280
BARBADOS,759,6522,2958,12,19,53695,2278,3517,4564,6980,850,1727,1599,390,946,924
BELGIUM,3,1,0.4,0.2,0.3,10,,3,,,1,,,,1,
BELIZE,960,12292,5575,39,62,72853,1729,3503,4996,5169,1673,2795,2126,534,1179,735
BERMUDA,741,8756,3972,17,27,58404,5774,1320,1669,2210,303,562,646,394,457,275
BONAIRE,96,1323,600,1,2,1137,,13,36,,4,1,,,,
BRAZIL,2969,17944,8139,24,38,86481,36012,2398,3540,2468,3503,1489,4580,240,2263,187
BRUNEI,360,3867,1754,55,89,20130,1426,1029,4593,1631,932,680,611,668,410,935
CAMBODIA,14,121,55,0.2,0.3,1489,,51,96,30,3,72,65,,30,61
CANADA,16070,117163,53144,886,1427,570689,148638,23910,13799,17559,152,12490,8026,148,110,7608
CAPE VERDE,18,511,232,2,4,673,,38,37,54,80,16,,,20,
CAYMAN ISLANDS,243,1759,798,7,11,11255,405,180,1826,1775,155,154,287,93,292,145
CHILE,12134,796160,361132,102,164,264826,0,12117,8291,11819,7813,7706,3135,4552,8643,2809
CHINA,10748,125719,57025,49,79,16406,3238,1202,714,1061,374,320,238,221,28,1732
COLOMBIA,421,22802,10343,22,35,49380,1386,1696,15597,2777,666,328,2854,1037,4167,1590
COSTA RICA,455,10769,4885,8,13,39705,156,227,27025,6088,83,7,2937,35,73,47
CURA?AO,124,1594,723,7,12,8559,,17,79,20,24,8,10,13,7,11
CYPRUS,406,254,115,3,4,5347,,,,,,,,,,
CZECH REPUBLIC,3,1,0.4,0.2,0.3,14,8,1,,1,1,,1,,,
DENMARK,15,22,10,2,3,26,4,,10,,4,,,1,,
DOMINICAN REPUBLIC,3416,24783,11242,11,19,117068,7866,6333,5526,5252,2315,1012,4013,4945,3592,5701
ECUADOR,38728,395069,179200,565,910,1070709,52362,63873,86694,59957,57571,54372,23391,76633,51977,35053
EGYPT,4,110,50,0.2,0.3,146,,,40,,,10,,1,,1
FIJI,13,91,41,6,9,1614,8,134,113,64,176,,40,35,23,55
FINLAND,28,4850,2200,2,3,365,,3,6,,7,2,,,,
FRANCE,134,1125,511,18,29,2748,1009,129,163,132,34,27,2,17,6,2
GERMANY,994,2859,1297,181,291,30577,12712,3799,521,957,375,352,467,262,530,100
GHANA,1873,217885,98831,17,28,1649009,71426,80208,97326,82133,100739,91445,16001,200132,223469,298336
GREECE,4810,14992,6800,47,75,64793,26660,1568,3141,4106,1249,719,3946,861,2252,27
GRENADA,119,1015,460,4,6,4366,149,636,1024,231,140,78,64,64,71,33
GUAM,5398,36297,16464,32,51,99227,9506,4514,10225,4960,2295,2485,1155,1205,2358,1099
GUATEMALA,29,17520,7947,2,3,52976,,,,,,,,,,
GUYANA,175,2833,1285,3,5,11743,107,400,2020,945,123,400,383,178,210,124
HONDURAS,48,155,70,5,8,271,,16,89,7,18,10,,3,2,2
HONG KONG,87349,12297616,5578105,1061,1708,220351,4941,5215,7465,10157,3780,4338,4326,3229,4601,2378
ICELAND,1,1,0.4,0.2,0.3,2,,,1,,,,,1,,
INDIA,11451,148871,67527,311,501,597517,24408,27674,36397,28643,72550,51538,14961,26190,17223,17770
INDONESIA,2987,4751,2155,50,80,95051,40032,7119,5346,4002,2933,3734,5778,2357,2692,1472
IRAN,12,46,21,0.7,1,22,,,,,1,,,,,
IRELAND,585,6326,2870,26,41,14559,1152,1744,1007,1213,373,390,335,228,211,49
ISRAEL,175,783,355,0.6,1,974,,77,90,14,146,279,13,28,,
ITALY,46,310,140,3,5,858,17,23,33,55,127,11,8,6,14,3
JAMAICA,9675,160628,72860,104,167,722278,3518,18251,298972,69253,11962,24226,6935,10437,10044,13174
JAPAN,5009,81053,36765,32,51,110119,12508,5312,6599,4658,2575,3121,1062,3723,1341,2216
KENYA,6931,63772,28926,73,117,265386,47383,12263,49259,40599,9707,8084,5348,4807,3957,721
KUWAIT,532,187366,84988,2,3,123,,,1,,,,,,,
MACAU,1250,1157,525,2,3,55310,,590,2390,850,20,20,420,90,,20490
MALAWI,76,1764,800,0.6,1,37419,309,2890,7302,1340,9509,577,250,305,504,85
MALAYSIA,1073,11628,5274,71,114,77001,4627,5651,23664,3606,4744,3160,2340,1314,545,1541
MALDIVES,159,2190,993,8,13,1775,2,37,499,129,60,78,40,1,9,
MALTA,71,372,169,15,24,976,,50,70,13,20,2,2,5,5,3
MARSHALL ISLANDS,303,23082,10470,1,2,3785,,105,762,93,52,53,,11,17,3
MAURITIUS,155,1581,717,2,3,5994,630,707,1197,285,29,418,66,89,66,81
MEXICO,13722,98521,44688,305,490,378206,55942,12384,29230,37170,12367,11560,8729,4088,16583,4518
